Material, Thickness (cm), Dose (rad), High Risk Events
Composite (27H:13S),11.5,3.0320600000000002e-24,3
Composite (27H:13S),12.0,3.73653e-24,3
Composite (27H:13S),12.5,4.39356e-25,0
Composite (27H:13S),13.0,1.3735700000000002e-24,2
Composite (27H:13S),13.5,3.47352e-24,5
Composite (27H:13S),14.0,5.79635e-25,6
Composite (27H:13S),14.5,1.79717e-24,3
Composite (27H:13S),15.0,3.0930600000000002e-24,1
Aluminum Wall 6mm (BaseLine),2.0,2.6456900000000004e-18,107376
Aluminum Wall 6mm (BaseLine),2.5,2.64634e-18,105980
Aluminum Wall 6mm (BaseLine),3.0,2.6441800000000003e-18,106865
Aluminum Wall 6mm (BaseLine),3.5,2.64383e-18,107159
Aluminum Wall 6mm (BaseLine),4.0,2.6453e-18,106399
Aluminum Wall 6mm (BaseLine),4.5,2.6465800000000004e-18,108903
Aluminum Wall 6mm (BaseLine),5.0,2.6458400000000003e-18,108096
Aluminum Wall 6mm (BaseLine),5.5,2.6457700000000002e-18,106727
Aluminum Wall 6mm (BaseLine),6.0,2.6485700000000003e-18,107188
Aluminum Wall 6mm (BaseLine),6.5,2.6484200000000003e-18,107584
Aluminum Wall 6mm (BaseLine),7.0,2.64527e-18,106479
Aluminum Wall 6mm (BaseLine),7.5,2.6443700000000004e-18,106540
Aluminum Wall 6mm (BaseLine),8.0,2.64545e-18,106271
Aluminum Wall 6mm (BaseLine),8.5,2.6477500000000004e-18,107130
Aluminum Wall 6mm (BaseLine),9.0,2.64484e-18,107506
Aluminum Wall 6mm (BaseLine),9.5,2.64373e-18,103279
Aluminum Wall 6mm (BaseLine),10.0,2.6447600000000002e-18,106157
Aluminum Wall 6mm (BaseLine),10.5,2.6450800000000004e-18,106223
Aluminum Wall 6mm (BaseLine),11.0,2.64591e-18,106809
Aluminum Wall 6mm (BaseLine),11.5,2.6466700000000003e-18,106161
Aluminum Wall 6mm (BaseLine),12.0,2.64497e-18,106124
Aluminum Wall 6mm (BaseLine),12.5,2.6428600000000003e-18,105626
Aluminum Wall 6mm (BaseLine),13.0,2.6421e-18,105057
Aluminum Wall 6mm (BaseLine),13.5,2.644e-18,105496
Aluminum Wall 6mm (BaseLine),14.0,2.6437800000000003e-18,105682
Aluminum Wall 6mm (BaseLine),14.5,2.6436600000000003e-18,104038
Aluminum Wall 6mm (BaseLine),15.0,2.64509e-18,105459
Aluminum Wall 6mm (BaseLine),15.5,2.6420400000000004e-18,103947
Aluminum Wall 6mm (BaseLine),16.0,2.64392e-18,105334
Aluminum Wall 6mm (BaseLine),16.5,2.6439e-18,105908
Aluminum Wall 6mm (BaseLine),17.0,2.6426700000000002e-18,103806
Aluminum Wall 6mm (BaseLine),17.5,2.64251e-18,103389
Aluminum Wall 6mm (BaseLine),18.0,2.6407400000000002e-18,104494
Aluminum Wall 6mm (BaseLine),18.5,2.64233e-18,103412
Aluminum Wall 6mm (BaseLine),19.0,2.64497e-18,106694
Aluminum Wall 6mm (BaseLine),19.5,2.6461200000000004e-18,106376
Aluminum Wall 6mm (BaseLine),20.0,2.64233e-18,104182
HDPE,2.0,2.60255e-18,104159
HDPE,2.5,2.66304e-18,105707
HDPE,3.0,2.72844e-18,108151
HDPE,3.5,2.8042200000000003e-18,111773
HDPE,4.0,2.88537e-18,113974
HDPE,4.5,2.98597e-18,117906
HDPE,5.0,3.1092e-18,122419
HDPE,5.5,3.2708e-18,126702
HDPE,6.0,3.5221100000000004e-18,147497
HDPE,6.5,3.85731e-18,376147
HDPE,7.0,3.7670700000000006e-18,419524
HDPE,7.5,3.62311e-18,411802
HDPE,8.0,3.4721e-18,402868
HDPE,8.5,3.33072e-18,403596
HDPE,9.0,3.1729e-18,395124
HDPE,9.5,3.01647e-18,387035
HDPE,10.0,2.8576200000000004e-18,386571
HDPE,10.5,2.6875200000000004e-18,375891
HDPE,11.0,2.51381e-18,372114
HDPE,11.5,2.33627e-18,362947
HDPE,12.0,2.14281e-18,358254
HDPE,12.5,1.9463e-18,348654
HDPE,13.0,1.73149e-18,340499
HDPE,13.5,1.50535e-18,333754
HDPE,14.0,1.24728e-18,324565
HDPE,14.5,9.484690000000001e-19,313236
HDPE,15.0,5.6212e-19,290795
HDPE,15.5,5.3973799999999997e-20,57508
HDPE,16.0,3.00614e-21,5357
HDPE,16.5,2.9462899999999998e-21,5114
HDPE,17.0,2.79598e-21,4982
HDPE,17.5,2.6529299999999997e-21,4916
HDPE,18.0,2.56588e-21,4676
HDPE,18.5,2.7973899999999998e-21,4506
HDPE,19.0,2.64947e-21,4565
HDPE,19.5,2.388e-21,4303
HDPE,20.0,2.2917299999999998e-21,4106
Composite (27H:13S),2.0,2.72049e-18,110745
